menu-item-name,"Chicken Pakora*","Chicken Pakora","chicken pakora","Chicken Pakoras","chicken pakoras"
menu-item-name,"Indian Oven Meat Platter*","Indian Oven Meat Platter","indian oven meat platter","Indian Oven Meat Platters","indian oven meat platters"
menu-item-name,"Vegetable Samosas*","Vegetable Samosas","vegetable samosas","Vegetable Samosa","vegetable samosa"
menu-item-name,"Baingan Pakora*","Baingan Pakora","baingan pakora","Baingan Pakoras","baingan pakoras"
menu-item-name,"Fish Pakora*","Fish Pakora","fish pakora","Fish Pakoras","fish pakoras"
menu-item-name,"Bombay Pakora*","Bombay Pakora","bombay pakora","Bombay Pakoras","bombay pakoras"
menu-item-name,"Dal Soup*","Dal Soup","dal soup","Dal Soups","dal soups"
menu-item-name,"Salad*","Salad","salad","Salads","salads"
menu-item-name,"Mango Chutney*","Mango Chutney","mango chutney","Mango Chutneys","mango chutneys"
menu-item-name,"Mulligatawny Soup*","Mulligatawny Soup","mulligatawny soup","Mulligatawny Soups","mulligatawny soups"
menu-item-name,"Raita*","Raita","raita","Raitas","raitas"
menu-item-name,"Mixed Pickle*","Mixed Pickle","mixed pickle","Mixed Pickles","mixed pickles"
menu-item-name,"Dal*","Dal","dal"
menu-item-name,"Saag Paneer*","Saag Paneer","saag paneer","Saag Paneers","saag paneers"
menu-item-name,"Saag Mushroom*","Saag Mushroom","saag mushroom","Saag Mushrooms","saag mushrooms"
menu-item-name,"Dal Saag*","Dal Saag","dal saag","Dal Saags","dal saags"
menu-item-name,"Mattar Paneer*","Mattar Paneer","mattar paneer","Mattar Paneers","mattar paneers"
menu-item-name,"Chana Masala*","Chana Masala","chana masala","Chana Masalas","chana masalas"
menu-item-name,"Navratan Korma*","Navratan Korma","navratan korma","Navratan Kormas","navratan kormas"
menu-item-name,"Sabji*","Sabji","sabji","Sabjis","sabjis"
menu-item-name,"Paneer Jalfrezi*","Paneer Jalfrezi","paneer jalfrezi","Paneer Jalfrezis","paneer jalfrezis"
menu-item-name,"Bengan Bartha*","Bengan Bartha","bengan bartha","Bengan Barthas","bengan barthas"
