menu-item-name,"Fall Game Day Special: California Roll*","Fall Game Day Special: California Roll","fall game day special: california roll","Fall Game Day Special: California Rolls","fall game day special: california rolls"
menu-item-name,"Fall Game Day Special: Potstickers*","Fall Game Day Special: Potstickers","fall game day special: potstickers","Fall Game Day Special: Potsticker","fall game day special: potsticker"
menu-item-name,"Fall Game Day Special: Chicken Wings*","Fall Game Day Special: Chicken Wings","fall game day special: chicken wings","Fall Game Day Special: Chicken Wing","fall game day special: chicken wing"
menu-item-name,"Can Soda*","Can Soda","can soda","Can Sodas","can sodas"
menu-item-name,"Fresh Made Lemonade*","Fresh Made Lemonade","fresh made lemonade","Fresh Made Lemonades","fresh made lemonades"
menu-item-name,"Thai Tea*","Thai Tea","thai tea","Thai Teas","thai teas"
menu-item-name,"9. Noodle Soup*","9. Noodle Soup","9. noodle soup","9. Noodle Soups","9. noodle soups","Noodle Soup","noodle soup","Noodle Soups","noodle soups"
menu-item-name,"11. Mussel Miso Soup*","11. Mussel Miso Soup","11. mussel miso soup","11. Mussel Miso Soups","11. mussel miso soups","Mussel Miso Soup","mussel miso soup","Mussel Miso Soups","mussel miso soups"
menu-item-name,"2. Seafood Sizzling Rice Soup*","2. Seafood Sizzling Rice Soup","2. seafood sizzling rice soup","2. Seafood Sizzling Rice Soups","2. seafood sizzling rice soups","Seafood Sizzling Rice Soup","seafood sizzling rice soup","Seafood Sizzling Rice Soups","seafood sizzling rice soups"
menu-item-name,"4. Bamboo Wor Won Ton Soup*","4. Bamboo Wor Won Ton Soup","4. bamboo wor won ton soup","4. Bamboo Wor Won Ton Soups","4. bamboo wor won ton soups","Bamboo Wor Won Ton Soup","bamboo wor won ton soup","Bamboo Wor Won Ton Soups","bamboo wor won ton soups"
menu-item-name,"6. Vegetable Tofu Soup*","6. Vegetable Tofu Soup","6. vegetable tofu soup","6. Vegetable Tofu Soups","6. vegetable tofu soups","Vegetable Tofu Soup","vegetable tofu soup","Vegetable Tofu Soups","vegetable tofu soups"
menu-item-name,"8. Spinach with Tofu and Mushroom Soup*","8. Spinach with Tofu and Mushroom Soup","8. spinach with tofu and mushroom soup","8. Spinach with Tofu and Mushroom Soups","8. spinach with tofu and mushroom soups","Spinach with Tofu and Mushroom Soup","spinach with tofu and mushroom soup","Spinach with Tofu and Mushroom Soups","spinach with tofu and mushroom soups"
menu-item-name,"10. Miso Soup*","10. Miso Soup","10. miso soup","10. Miso Soups","10. miso soups","Miso Soup","miso soup","Miso Soups","miso soups"
menu-item-name,"1. Seafood Salad*","1. Seafood Salad","1. seafood salad","1. Seafood Salads","1. seafood salads","Seafood Salad","seafood salad","Seafood Salads","seafood salads"
menu-item-name,"3. Spinach with Fried Tofu and Cold Rice Noodle Salad*","3. Spinach with Fried Tofu and Cold Rice Noodle Salad","3. spinach with fried tofu and cold rice noodle salad","3. Spinach with Fried Tofu and Cold Rice Noodle Salads","3. spinach with fried tofu and cold rice noodle salads","Spinach with Fried Tofu and Cold Rice Noodle Salad","spinach with fried tofu and cold rice noodle salad","Spinach with Fried Tofu and Cold Rice Noodle Salads","spinach with fried tofu and cold rice noodle salads"
menu-item-name,"5. Seaweed Salad*","5. Seaweed Salad","5. seaweed salad","5. Seaweed Salads","5. seaweed salads","Seaweed Salad","seaweed salad","Seaweed Salads","seaweed salads"
menu-item-name,"7. Spicy Tuna Salad*","7. Spicy Tuna Salad","7. spicy tuna salad","7. Spicy Tuna Salads","7. spicy tuna salads","Spicy Tuna Salad","spicy tuna salad","Spicy Tuna Salads","spicy tuna salads"
menu-item-name,"2. Bamboo Chicken Salad*","2. Bamboo Chicken Salad","2. bamboo chicken salad","2. Bamboo Chicken Salads","2. bamboo chicken salads","Bamboo Chicken Salad","bamboo chicken salad","Bamboo Chicken Salads","bamboo chicken salads"
menu-item-name,"4. Gomae Salad*","4. Gomae Salad","4. gomae salad","4. Gomae Salads","4. gomae salads","Gomae Salad","gomae salad","Gomae Salads","gomae salads"
menu-item-name,"6. Cucumber Salad*","6. Cucumber Salad","6. cucumber salad","6. Cucumber Salads","6. cucumber salads","Cucumber Salad","cucumber salad","Cucumber Salads","cucumber salads"
menu-item-name,"8. Shrimp Salad*","8. Shrimp Salad","8. shrimp salad","8. Shrimp Salads","8. shrimp salads","Shrimp Salad","shrimp salad","Shrimp Salads","shrimp salads"
menu-item-name,"1. Udon*","1. Udon","1. udon","1. Udons","1. udons","Udon","udon","Udons","udons"
menu-item-name,"2. Soba*","2. Soba","2. soba","2. Sobas","2. sobas","Soba","soba","Sobas","sobas"
menu-item-name,"1. Chicken or Beef Nabe*","1. Chicken or Beef Nabe","1. chicken or beef nabe","1. Chicken or Beef Nabes","1. chicken or beef nabes","Chicken or Beef Nabe","chicken or beef nabe","Chicken or Beef Nabes","chicken or beef nabes"
menu-item-name,"3. Seafood Nabe*","3. Seafood Nabe","3. seafood nabe","3. Seafood Nabes","3. seafood nabes","Seafood Nabe","seafood nabe","Seafood Nabes","seafood nabes"
menu-item-name,"2. Won Ton Nabe*","2. Won Ton Nabe","2. won ton nabe","2. Won Ton Nabes","2. won ton nabes","Won Ton Nabe","won ton nabe","Won Ton Nabes","won ton nabes"
menu-item-name,"1. Donburi*","1. Donburi","1. donburi","1. Donburis","1. donburis","Donburi","donburi","Donburis","donburis"
menu-item-name,"4. Tekka Donburi*","4. Tekka Donburi","4. tekka donburi","4. Tekka Donburis","4. tekka donburis","Tekka Donburi","tekka donburi","Tekka Donburis","tekka donburis"
menu-item-name,"2. Unagi Donbari*","2. Unagi Donbari","2. unagi donbari","2. Unagi Donbaris","2. unagi donbaris","Unagi Donbari","unagi donbari","Unagi Donbaris","unagi donbaris"
menu-item-name,"1. Tuna*","1. Tuna","1. tuna","1. Tunas","1. tunas","Tuna","tuna","Tunas","tunas"
menu-item-name,"3. Yellowtail*","3. Yellowtail","3. yellowtail","3. Yellowtails","3. yellowtails","Yellowtail","yellowtail","Yellowtails","yellowtails"
menu-item-name,"5. Red Snapper*","5. Red Snapper","5. red snapper","5. Red Snappers","5. red snappers","Red Snapper","red snapper","Red Snappers","red snappers"
menu-item-name,"7. Eel*","7. Eel","7. eel","7. Eels","7. eels","Eel","eel"
menu-item-name,"9. Sweet Raw Prawn*","9. Sweet Raw Prawn","9. sweet raw prawn","9. Sweet Raw Prawns","9. sweet raw prawns","Sweet Raw Prawn","sweet raw prawn","Sweet Raw Prawns","sweet raw prawns"
menu-item-name,"12. White Tuna*","12. White Tuna","12. white tuna","12. White Tunas","12. white tunas","White Tuna","white tuna","White Tunas","white tunas"
menu-item-name,"13. Ebi Sushi*","13. Ebi Sushi","13. ebi sushi","13. Ebi Sushis","13. ebi sushis","Ebi Sushi","ebi sushi","Ebi Sushis","ebi sushis"
menu-item-name,"14. Bean Curd Sushi*","14. Bean Curd Sushi","14. bean curd sushi","14. Bean Curd Sushis","14. bean curd sushis","Bean Curd Sushi","bean curd sushi","Bean Curd Sushis","bean curd sushis"
menu-item-name,"2. Salmon*","2. Salmon","2. salmon","2. Salmons","2. salmons","Salmon","salmon","Salmons","salmons"
menu-item-name,"4. Mackerel*","4. Mackerel","4. mackerel","4. Mackerels","4. mackerels","Mackerel","mackerel","Mackerels","mackerels"
menu-item-name,"6. Octopus*","6. Octopus","6. octopus","6. Octopu","6. octopu","Octopus","octopus","Octopu","octopu"
menu-item-name,"8. Squid*","8. Squid","8. squid","8. Squids","8. squids","Squid","squid","Squids","squids"
menu-item-name,"11. Fatty Tuna*","11. Fatty Tuna","11. fatty tuna","11. Fatty Tunas","11. fatty tunas","Fatty Tuna","fatty tuna","Fatty Tunas","fatty tunas"
menu-item-name,"13. Sewee Egg Sushi*","13. Sewee Egg Sushi","13. sewee egg sushi","13. Sewee Egg Sushis","13. sewee egg sushis","Sewee Egg Sushi","sewee egg sushi","Sewee Egg Sushis","sewee egg sushis"
menu-item-name,"13. Tobiko Sushi*","13. Tobiko Sushi","13. tobiko sushi","13. Tobiko Sushis","13. tobiko sushis","Tobiko Sushi","tobiko sushi","Tobiko Sushis","tobiko sushis"
menu-item-name,"15. Salmon Roe Sushi*","15. Salmon Roe Sushi","15. salmon roe sushi","15. Salmon Roe Sushis","15. salmon roe sushis","Salmon Roe Sushi","salmon roe sushi","Salmon Roe Sushis","salmon roe sushis"
menu-item-name,"1. Caterpillar Roll*","1. Caterpillar Roll","1. caterpillar roll","1. Caterpillar Rolls","1. caterpillar rolls","Caterpillar Roll","caterpillar roll","Caterpillar Rolls","caterpillar rolls"
menu-item-name,"3. Dragon Roll*","3. Dragon Roll","3. dragon roll","3. Dragon Rolls","3. dragon rolls","Dragon Roll","dragon roll","Dragon Rolls","dragon rolls"
menu-item-name,"5. 49'er Roll*","5. 49'er Roll","5. 49'er roll","5. 49'er Rolls","5. 49'er rolls","49'er Roll","49'er roll","49'er Rolls","49'er rolls"
menu-item-name,"7. Spider Roll*","7. Spider Roll","7. spider roll","7. Spider Rolls","7. spider rolls","Spider Roll","spider roll","Spider Rolls","spider rolls"
menu-item-name,"9. Spicy Lamb Roll*","9. Spicy Lamb Roll","9. spicy lamb roll","9. Spicy Lamb Rolls","9. spicy lamb rolls","Spicy Lamb Roll","spicy lamb roll","Spicy Lamb Rolls","spicy lamb rolls"
menu-item-name,"11. Rock'n Roll*","11. Rock'n Roll","11. rock'n roll","11. Rock'n Rolls","11. rock'n rolls","Rock","rock","Rocks","rocks","Rock'n Roll","rock'n roll","Rock'n Rolls","rock'n rolls"
menu-item-name,"13. Vegi Roll*","13. Vegi Roll","13. vegi roll","13. Vegi Rolls","13. vegi rolls","Vegi Roll","vegi roll","Vegi Rolls","vegi rolls"
menu-item-name,"15. Tokyo Roll*","15. Tokyo Roll","15. tokyo roll","15. Tokyo Rolls","15. tokyo rolls","Tokyo Roll","tokyo roll","Tokyo Rolls","tokyo rolls"
menu-item-name,"17. Futo Maki*","17. Futo Maki","17. futo maki","17. Futo Makis","17. futo makis","Futo Maki","futo maki","Futo Makis","futo makis"
menu-item-name,"2. Golden Gate Roll*","2. Golden Gate Roll","2. golden gate roll","2. Golden Gate Rolls","2. golden gate rolls","Golden Gate Roll","golden gate roll","Golden Gate Rolls","golden gate rolls"
menu-item-name,"4. Rainbow Roll*","4. Rainbow Roll","4. rainbow roll","4. Rainbow Rolls","4. rainbow rolls","Rainbow Roll","rainbow roll","Rainbow Rolls","rainbow rolls"
menu-item-name,"6. Checkerboard Roll*","6. Checkerboard Roll","6. checkerboard roll","6. Checkerboard Rolls","6. checkerboard rolls","Checkerboard Roll","checkerboard roll","Checkerboard Rolls","checkerboard rolls"
menu-item-name,"8. Spicy Crispy Tuna Roll*","8. Spicy Crispy Tuna Roll","8. spicy crispy tuna roll","8. Spicy Crispy Tuna Rolls","8. spicy crispy tuna rolls","Spicy Crispy Tuna Roll","spicy crispy tuna roll","Spicy Crispy Tuna Rolls","spicy crispy tuna rolls"
menu-item-name,"10. Bamboo Creamy Roll*","10. Bamboo Creamy Roll","10. bamboo creamy roll","10. Bamboo Creamy Rolls","10. bamboo creamy rolls","Bamboo Creamy Roll","bamboo creamy roll","Bamboo Creamy Rolls","bamboo creamy rolls"
menu-item-name,"12. Una Tempura Roll*","12. Una Tempura Roll","12. una tempura roll","12. Una Tempura Rolls","12. una tempura rolls","Una Tempura Roll","una tempura roll","Una Tempura Rolls","una tempura rolls"
menu-item-name,"14. Mango Avocado Roll*","14. Mango Avocado Roll","14. mango avocado roll","14. Mango Avocado Rolls","14. mango avocado rolls","Mango Avocado Roll","mango avocado roll","Mango Avocado Rolls","mango avocado rolls"
menu-item-name,"16. Vegi Dragon Roll*","16. Vegi Dragon Roll","16. vegi dragon roll","16. Vegi Dragon Rolls","16. vegi dragon rolls","Vegi Dragon Roll","vegi dragon roll","Vegi Dragon Rolls","vegi dragon rolls"
menu-item-name,"1. California Roll*","1. California Roll","1. california roll","1. California Rolls","1. california rolls","California Roll","california roll","California Rolls","california rolls"
